# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 21K of event 'cycles'
# Event count (approx.): 9508675690
#
# Overhead  Command    Shared Object     Symbol                                        
# ........  .........  ................  ..............................................
#
     0.01%  lab2_list  libc.so.6         [.] _itoa_word
     0.01%  lab2_list  [kernel.vmlinux]  [k] timerqueue_add
     0.01%  lab2_list  [kernel.vmlinux]  [k] raise_softirq
     0.01%  lab2_list  [kernel.vmlinux]  [k] perf_ibs_start
     0.01%  lab2_list  [kernel.vmlinux]  [k] irq_work_run_list
     0.01%  lab2_list  [ip_tables]       [k] ipt_do_table
     0.01%  lab2_list  [kernel.vmlinux]  [k] check_preempt_wakeup
     0.01%  lab2_list  libc.so.6         [.] __strndup
     0.01%  lab2_list  [kernel.vmlinux]  [k] try_to_wake_up
     0.01%  lab2_list  [bridge]          [k] br_handle_frame_finish
     0.01%  lab2_list  [kernel.vmlinux]  [k] hrtimer_active
     0.01%  lab2_list  [kernel.vmlinux]  [k] apic_ack_edge
     0.01%  lab2_list  [kernel.vmlinux]  [k] hrtimer_update_next_event
     0.01%  lab2_list  [kernel.vmlinux]  [k] irq_work_single
     0.01%  lab2_list  [kernel.vmlinux]  [k] queued_spin_lock_slowpath
     0.01%  lab2_list  [kernel.vmlinux]  [k] idle_cpu
     0.01%  lab2_list  [kernel.vmlinux]  [k] call_function_single_prep_ipi
     0.01%  lab2_list  [kernel.vmlinux]  [k] sched_clock_cpu
     0.01%  lab2_list  libc.so.6         [.] __snprintf
     0.01%  lab2_list  [kernel.vmlinux]  [k] _raw_spin_unlock_irqrestore
     0.01%  lab2_list  libc.so.6         [.] rand
     0.01%  lab2_list  [kernel.vmlinux]  [k] acct_account_cputime
     0.01%  lab2_list  [kernel.vmlinux]  [k] kmem_cache_free
     0.01%  lab2_list  [kernel.vmlinux]  [k] default_send_IPI_self
     0.01%  lab2_list  [kernel.vmlinux]  [k] cpuacct_charge
     0.01%  lab2_list  [kernel.vmlinux]  [k] task_work_run
     0.01%  lab2_list  [kernel.vmlinux]  [k] sync_regs
     0.01%  lab2_list  [kernel.vmlinux]  [k] __cgroup_account_cputime_field
     0.01%  lab2_list  [kernel.vmlinux]  [k] tcp_wfree
     0.01%  lab2_list  [kernel.vmlinux]  [k] perf_ctx_enable
     0.01%  lab2_list  [kernel.vmlinux]  [k] rebalance_domains
     0.01%  lab2_list  [kernel.vmlinux]  [k] memset_orig
     0.01%  lab2_list  [kernel.vmlinux]  [k] profile_tick
     0.01%  lab2_list  lab2_list         [.] SortedList_length
     0.01%  lab2_list  [kernel.vmlinux]  [k] __smp_call_single_queue
     0.01%  lab2_list  [kernel.vmlinux]  [k] error_return
     0.01%  lab2_list  [kernel.vmlinux]  [k] enqueue_task_fair
     0.01%  lab2_list  [kernel.vmlinux]  [k] irq_work_tick
     0.01%  lab2_list  [kernel.vmlinux]  [k] raw_spin_rq_unlock
     0.01%  lab2_list  [kernel.vmlinux]  [k] ipv4_dst_check
     0.01%  lab2_list  [kernel.vmlinux]  [k] dbs_update_util_handler
     0.01%  lab2_list  [kernel.vmlinux]  [k] stackleak_track_stack
     0.01%  lab2_list  [kernel.vmlinux]  [k] __sysvec_apic_timer_interrupt
     0.01%  lab2_list  [kernel.vmlinux]  [k] task_mm_cid_work
     0.01%  lab2_list  [kernel.vmlinux]  [k] dma_unmap_page_attrs
     0.01%  lab2_list  [kernel.vmlinux]  [k] find_idlest_group
     0.01%  lab2_list  [kernel.vmlinux]  [k] __rcu_read_unlock
     0.01%  lab2_list  [bridge]          [k] fdb_find_rcu
     0.01%  lab2_list  [kernel.vmlinux]  [k] __kfree_skb
     0.01%  lab2_list  [nf_conntrack]    [k] nf_ct_get_tuple
     0.01%  lab2_list  [nf_conntrack]    [k] nf_conntrack_in
     0.01%  lab2_list  [kernel.vmlinux]  [k] __tcp_ack_snd_check
     0.00%  lab2_list  [kernel.vmlinux]  [k] kmem_cache_free_bulk.part.0
     0.00%  lab2_list  [kernel.vmlinux]  [k] alloc_vmap_area
     0.00%  lab2_list  [kernel.vmlinux]  [k] memset
     0.00%  lab2_list  lab2_list         [.] main
     0.00%  lab2_list  [kernel.vmlinux]  [k] smp_call_function_many_cond
     0.00%  lab2_list  [kernel.vmlinux]  [k] deactivate_slab
     0.00%  lab2_list  [kernel.vmlinux]  [k] calc_global_load_tick
     0.00%  lab2_list  [kernel.vmlinux]  [k] perf_event_alloc
     0.00%  lab2_list  [kernel.vmlinux]  [k] tcp_v4_rcv
     0.00%  lab2_list  [kernel.vmlinux]  [k] netif_receive_skb_list_internal
     0.00%  lab2_list  [kernel.vmlinux]  [k] error_entry
     0.00%  lab2_list  [kernel.vmlinux]  [k] ip_rcv_core
     0.00%  lab2_list  libc.so.6         [.] malloc
     0.00%  lab2_list  [kernel.vmlinux]  [k] kthread_is_per_cpu
     0.00%  lab2_list  [kernel.vmlinux]  [k] __rseq_handle_notify_resume
     0.00%  lab2_list  [nf_conntrack]    [k] nf_conntrack_tcp_packet
     0.00%  lab2_list  [kernel.vmlinux]  [k] asm_sysvec_call_function
     0.00%  lab2_list  [kernel.vmlinux]  [k] skb_free_head
     0.00%  lab2_list  [kvm]             [k] pvclock_gtod_notify
     0.00%  lab2_list  [kernel.vmlinux]  [k] _raw_spin_lock_irq
     0.00%  lab2_list  [kernel.vmlinux]  [k] remove_vma
     0.00%  lab2_list  libc.so.6         [.] cfree@GLIBC_2.2.5
     0.00%  lab2_list  [kernel.vmlinux]  [k] tcp_data_ready
     0.00%  lab2_list  [kernel.vmlinux]  [k] igb_poll
     0.00%  lab2_list  libc.so.6         [.] __vsnprintf_internal
     0.00%  lab2_list  [kernel.vmlinux]  [k] native_flush_tlb_one_user
     0.00%  lab2_list  [kernel.vmlinux]  [k] tcp_ack
     0.00%  lab2_list  libc.so.6         [.] atoi
     0.00%  lab2_list  [kernel.vmlinux]  [k] _raw_spin_lock_bh
     0.00%  lab2_list  [kernel.vmlinux]  [k] siphash_4u64
     0.00%  lab2_list  [kernel.vmlinux]  [k] folio_test_hugetlb
     0.00%  lab2_list  libc.so.6         [.] malloc@plt
     0.00%  lab2_list  libc.so.6         [.] __printf_buffer_write
     0.00%  lab2_list  [kernel.vmlinux]  [k] psi_task_change
     0.00%  lab2_list  libc.so.6         [.] __printf_buffer_done
     0.00%  lab2_list  [kernel.vmlinux]  [k] igb_msix_ring
     0.00%  lab2_list  [kernel.vmlinux]  [k] update_sd_lb_stats.constprop.0
     0.00%  lab2_list  [kernel.vmlinux]  [k] percpu_counter_add_batch
     0.00%  lab2_list  lab2_list         [.] _init
     0.00%  lab2_list  [kernel.vmlinux]  [k] task_tick_fair
     0.00%  lab2_list  [kernel.vmlinux]  [k] __hrtimer_next_event_base
     0.00%  lab2_list  [kernel.vmlinux]  [k] perf_ctx_disable
     0.00%  lab2_list  [kernel.vmlinux]  [k] hrtimer_interrupt
     0.00%  lab2_list  [kernel.vmlinux]  [k] account_user_time
     0.00%  lab2_list  [kernel.vmlinux]  [k] lapic_next_event
     0.00%  lab2_list  [kernel.vmlinux]  [k] __perf_event_task_sched_out
     0.00%  lab2_list  libc.so.6         [.] __GI_strtoll
     0.00%  lab2_list  [kernel.vmlinux]  [k] get_mem_cgroup_from_mm
     0.00%  lab2_list  [kernel.vmlinux]  [k] lock_mm_and_find_vma
     0.00%  lab2_list  [kernel.vmlinux]  [k] sigprocmask
     0.00%  lab2_list  [kernel.vmlinux]  [k] __alloc_pages
     0.00%  lab2_list  [kernel.vmlinux]  [k] put_prev_entity
     0.00%  lab2_list  [kernel.vmlinux]  [k] flush_signal_handlers
     0.00%  lab2_list  libc.so.6         [.] start_thread
     0.00%  lab2_list  [kernel.vmlinux]  [k] restore_fpregs_from_fpstate
     0.00%  lab2_list  [kernel.vmlinux]  [k] nmi_restore
     0.00%  lab2_list  [kernel.vmlinux]  [k] calculate_sigpending
     0.00%  lab2_list  [kernel.vmlinux]  [k] finish_task_switch.isra.0
     0.00%  perf-exec  [kernel.vmlinux]  [k] perf_pmu_nop_void
     0.00%  lab2_list  [kernel.vmlinux]  [k] perf_ctx_sched_task_cb
     0.00%  lab2_list  [kernel.vmlinux]  [k] perf_ibs_handle_irq
     0.00%  lab2_list  [kernel.vmlinux]  [k] recalc_sigpending
     0.00%  lab2_list  [kernel.vmlinux]  [k] default_do_nmi
     0.00%  lab2_list  [kernel.vmlinux]  [k] nmi_handle
     0.00%  perf-exec  [kernel.vmlinux]  [k] arch_perf_update_userpage
     0.00%  lab2_list  [kernel.vmlinux]  [k] perf_ibs_nmi_handler
     0.00%  perf-exec  [kernel.vmlinux]  [k] perf_ibs_handle_irq
     0.00%  perf-exec  [kernel.vmlinux]  [k] perf_ibs_start


#
# (Tip: Customize output of perf script with: perf script -F event,ip,sym)
#
 Percent |	Source code & Disassembly of lab2_list for cycles (16105 samples, percent: local period)
--------------------------------------------------------------------------------------------------------
         :
         :
         : 2    Disassembly of section .text:
         :
         : 4    0000000000002334 <thread_run_list_test>:
         : 5    ; thread_run_list_test():
         : 6    ; /home/tlam/cs134/project2b/lab2_list.c:335
         : 7    ; void* thread_run_list_test(void* t_arg) {
    0.00 :   2334:           pushq   %rbp
    0.00 :   2335:           movq    %rsp, %rbp
    0.00 :   2338:           subq    $0x60, %rsp
    0.00 :   233c:           movq    %rdi, -0x58(%rbp)
    0.00 :   2340:           movq    %fs:0x28, %rax
    0.00 :   2349:           movq    %rax, -0x8(%rbp)
    0.00 :   234d:           xorl    %eax, %eax
         : 15   ; /home/tlam/cs134/project2b/lab2_list.c:336
         : 16   ;     int* index = t_arg;
    0.00 :   234f:           movq    -0x58(%rbp), %rax
    0.00 :   2353:           movq    %rax, -0x38(%rbp)
         : 19   ; /home/tlam/cs134/project2b/lab2_list.c:338
         : 20   ;     for (int j = 0; j < iterations; j++) {
    0.00 :   2357:           movl    $0x0, -0x4c(%rbp)
    0.00 :   235e:           jmp     0x251c <thread_run_list_test+0x1e8>
         : 23   ; /home/tlam/cs134/project2b/lab2_list.c:339
         : 24   ;         int which_list = atoi(randomElems[(*index) * iterations + j].key) % list_count;
    0.00 :   2363:           movq    0x3ece(%rip), %rcx      # 0x6238 <randomElems>
    0.00 :   236a:           movq    -0x38(%rbp), %rax
    0.00 :   236e:           movl    (%rax), %edx
    0.00 :   2370:           movl    0x3d9e(%rip), %eax      # 0x6114 <iterations>
    0.00 :   2376:           imull   %eax, %edx
    0.00 :   2379:           movl    -0x4c(%rbp), %eax
    0.00 :   237c:           addl    %edx, %eax
    0.00 :   237e:           movslq  %eax, %rdx
    0.00 :   2381:           movq    %rdx, %rax
    0.00 :   2384:           addq    %rax, %rax
    0.00 :   2387:           addq    %rdx, %rax
    0.00 :   238a:           shlq    $0x3, %rax
    0.00 :   238e:           addq    %rcx, %rax
    0.00 :   2391:           movq    0x10(%rax), %rax
    0.00 :   2395:           movq    %rax, %rdi
    0.00 :   2398:           callq   0x1190 <atoi@plt>
    0.00 :   239d:           movl    0x3d79(%rip), %ecx      # 0x611c <list_count>
    0.00 :   23a3:           cltd
    0.00 :   23a4:           idivl   %ecx
    0.00 :   23a6:           movl    %edx, -0x3c(%rbp)
         : 45   ; /home/tlam/cs134/project2b/lab2_list.c:340
         : 46   ;         if (clock_gettime(CLOCK_MONOTONIC, &start) == -1) {
    0.00 :   23a9:           leaq    -0x30(%rbp), %rax
    0.00 :   23ad:           movq    %rax, %rsi
    0.00 :   23b0:           movl    $0x1, %edi
    0.00 :   23b5:           callq   0x1060 <clock_gettime@plt>
    0.00 :   23ba:           cmpl    $-0x1, %eax
    0.00 :   23bd:           jne     0x23ec <thread_run_list_test+0xb8>
         : 53   ; /home/tlam/cs134/project2b/lab2_list.c:341
         : 54   ;             fprintf(stderr, "clock gettime");
    0.00 :   23bf:           movq    0x3e3a(%rip), %rax      # 0x6200 <stderr@GLIBC_2.2.5>
    0.00 :   23c6:           movq    %rax, %rcx
    0.00 :   23c9:           movl    $0xd, %edx
    0.00 :   23ce:           movl    $0x1, %esi
    0.00 :   23d3:           leaq    0x1de5(%rip), %rax      # 0x41bf <_IO_stdin_used+0x1bf>
    0.00 :   23da:           movq    %rax, %rdi
    0.00 :   23dd:           callq   0x11b0 <fwrite@plt>
         : 62   ; /home/tlam/cs134/project2b/lab2_list.c:342
         : 63   ;             exit(1);
    0.00 :   23e2:           movl    $0x1, %edi
    0.00 :   23e7:           callq   0x11a0 <exit@plt>
         : 66   ; /home/tlam/cs134/project2b/lab2_list.c:344
         : 67   ;         while (__sync_lock_test_and_set(&exclusions[which_list], 1)) {
    0.00 :   23ec:           nop
    0.38 :   23ed:           movq    0x3e34(%rip), %rax      # 0x6228 <exclusions>
    0.36 :   23f4:           movl    -0x3c(%rbp), %edx
    0.10 :   23f7:           movslq  %edx, %rdx
    0.10 :   23fa:           shlq    $0x2, %rdx
   30.61 :   23fe:           addq    %rax, %rdx
    0.15 :   2401:           movl    $0x1, %eax
   51.01 :   2406:           xchgl   %eax, (%rdx)
    8.27 :   2408:           testl   %eax, %eax
    0.08 :   240a:           jne     0x23ed <thread_run_list_test+0xb9>
         : 78   ; /home/tlam/cs134/project2b/lab2_list.c:347
         : 79   ;         if (clock_gettime(CLOCK_MONOTONIC, &stop) == -1) {
    0.07 :   240c:           leaq    -0x20(%rbp), %rax
    0.10 :   2410:           movq    %rax, %rsi
    0.05 :   2413:           movl    $0x1, %edi
    0.00 :   2418:           callq   0x1060 <clock_gettime@plt>
    0.00 :   241d:           cmpl    $-0x1, %eax
    0.00 :   2420:           jne     0x244f <thread_run_list_test+0x11b>
         : 86   ; /home/tlam/cs134/project2b/lab2_list.c:348
         : 87   ;             fprintf(stderr, "clock gettime");
    0.00 :   2422:           movq    0x3dd7(%rip), %rax      # 0x6200 <stderr@GLIBC_2.2.5>
    0.00 :   2429:           movq    %rax, %rcx
    0.00 :   242c:           movl    $0xd, %edx
    0.00 :   2431:           movl    $0x1, %esi
    0.00 :   2436:           leaq    0x1d82(%rip), %rax      # 0x41bf <_IO_stdin_used+0x1bf>
    0.00 :   243d:           movq    %rax, %rdi
    0.00 :   2440:           callq   0x11b0 <fwrite@plt>
         : 95   ; /home/tlam/cs134/project2b/lab2_list.c:349
         : 96   ;             exit(1);
    0.00 :   2445:           movl    $0x1, %edi
    0.00 :   244a:           callq   0x11a0 <exit@plt>
         : 99   ; /home/tlam/cs134/project2b/lab2_list.c:352
         : 100  ;         locking_times[*index] += stop.tv_nsec - start.tv_nsec +
    0.00 :   244f:           movq    0x3dda(%rip), %rdx      # 0x6230 <locking_times>
    0.00 :   2456:           movq    -0x38(%rbp), %rax
    0.00 :   245a:           movl    (%rax), %eax
    0.00 :   245c:           cltq
    0.00 :   245e:           shlq    $0x3, %rax
    0.00 :   2462:           addq    %rdx, %rax
    0.01 :   2465:           movq    (%rax), %rdx
    0.01 :   2468:           movq    -0x18(%rbp), %rcx
    0.00 :   246c:           movq    -0x28(%rbp), %rax
    0.00 :   2470:           movq    %rcx, %rsi
    0.00 :   2473:           subq    %rax, %rsi
         : 112  ; /home/tlam/cs134/project2b/lab2_list.c:353
         : 113  ;                                 (stop.tv_sec - start.tv_sec) * BILLION;
    0.00 :   2476:           movq    -0x20(%rbp), %rcx
    0.00 :   247a:           movq    -0x30(%rbp), %rax
    0.00 :   247e:           subq    %rax, %rcx
    0.00 :   2481:           imulq   $0x3b9aca00, %rcx, %rax # imm = 0x3B9ACA00
         : 118  ; /home/tlam/cs134/project2b/lab2_list.c:352
         : 119  ;         locking_times[*index] += stop.tv_nsec - start.tv_nsec +
    0.00 :   2488:           addq    %rax, %rsi
    0.00 :   248b:           movq    0x3d9e(%rip), %rcx      # 0x6230 <locking_times>
    0.00 :   2492:           movq    -0x38(%rbp), %rax
    0.00 :   2496:           movl    (%rax), %eax
    0.00 :   2498:           cltq
    0.00 :   249a:           shlq    $0x3, %rax
    0.00 :   249e:           addq    %rcx, %rax
    0.00 :   24a1:           addq    %rsi, %rdx
    0.00 :   24a4:           movq    %rdx, (%rax)
         : 129  ; /home/tlam/cs134/project2b/lab2_list.c:355
         : 130  ;         SortedList_insert(&sublists[which_list], &randomElems[(*index) * iterations + j]);
    0.00 :   24a7:           movq    0x3d8a(%rip), %rcx      # 0x6238 <randomElems>
    0.00 :   24ae:           movq    -0x38(%rbp), %rax
    0.00 :   24b2:           movl    (%rax), %edx
    0.00 :   24b4:           movl    0x3c5a(%rip), %eax      # 0x6114 <iterations>
    0.00 :   24ba:           imull   %eax, %edx
    0.00 :   24bd:           movl    -0x4c(%rbp), %eax
    0.00 :   24c0:           addl    %edx, %eax
    0.00 :   24c2:           movslq  %eax, %rdx
    0.00 :   24c5:           movq    %rdx, %rax
    0.00 :   24c8:           addq    %rax, %rax
    0.00 :   24cb:           addq    %rdx, %rax
    0.00 :   24ce:           shlq    $0x3, %rax
    0.00 :   24d2:           addq    %rax, %rcx
    0.00 :   24d5:           movq    0x3d64(%rip), %rsi      # 0x6240 <sublists>
    0.00 :   24dc:           movl    -0x3c(%rbp), %eax
    0.00 :   24df:           movslq  %eax, %rdx
    0.00 :   24e2:           movq    %rdx, %rax
    0.00 :   24e5:           addq    %rax, %rax
    0.00 :   24e8:           addq    %rdx, %rax
    0.00 :   24eb:           shlq    $0x3, %rax
    0.00 :   24ef:           addq    %rsi, %rax
    0.00 :   24f2:           movq    %rcx, %rsi
    0.00 :   24f5:           movq    %rax, %rdi
    0.00 :   24f8:           callq   0x32c7 <SortedList_insert>
         : 155  ; /home/tlam/cs134/project2b/lab2_list.c:356
         : 156  ;         __sync_lock_release(&exclusions[which_list]);
    0.00 :   24fd:           movq    0x3d24(%rip), %rax      # 0x6228 <exclusions>
    0.00 :   2504:           movl    -0x3c(%rbp), %edx
    0.00 :   2507:           movslq  %edx, %rdx
    0.00 :   250a:           shlq    $0x2, %rdx
    0.00 :   250e:           addq    %rdx, %rax
    0.00 :   2511:           movl    $0x0, %edx
    0.00 :   2516:           movl    %edx, (%rax)
         : 164  ; /home/tlam/cs134/project2b/lab2_list.c:338
         : 165  ;     for (int j = 0; j < iterations; j++) {
    0.00 :   2518:           addl    $0x1, -0x4c(%rbp)
    0.00 :   251c:           movl    0x3bf2(%rip), %eax      # 0x6114 <iterations>
    0.00 :   2522:           cmpl    %eax, -0x4c(%rbp)
    0.00 :   2525:           jl      0x2363 <thread_run_list_test+0x2f>
         : 170  ; /home/tlam/cs134/project2b/lab2_list.c:359
         : 171  ;     for (int j = 0; j < list_count; j++) {
    0.00 :   252b:           movl    $0x0, -0x48(%rbp)
    0.00 :   2532:           jmp     0x26d2 <thread_run_list_test+0x39e>
         : 174  ; /home/tlam/cs134/project2b/lab2_list.c:360
         : 175  ;         if (clock_gettime(CLOCK_MONOTONIC, &start) == -1) {
    0.00 :   2537:           leaq    -0x30(%rbp), %rax
    0.00 :   253b:           movq    %rax, %rsi
    0.00 :   253e:           movl    $0x1, %edi
    0.00 :   2543:           callq   0x1060 <clock_gettime@plt>
    0.00 :   2548:           cmpl    $-0x1, %eax
    0.00 :   254b:           jne     0x257a <thread_run_list_test+0x246>
         : 182  ; /home/tlam/cs134/project2b/lab2_list.c:361
         : 183  ;             fprintf(stderr, "clock gettime");
    0.00 :   254d:           movq    0x3cac(%rip), %rax      # 0x6200 <stderr@GLIBC_2.2.5>
    0.00 :   2554:           movq    %rax, %rcx
    0.00 :   2557:           movl    $0xd, %edx
    0.00 :   255c:           movl    $0x1, %esi
    0.00 :   2561:           leaq    0x1c57(%rip), %rax      # 0x41bf <_IO_stdin_used+0x1bf>
    0.00 :   2568:           movq    %rax, %rdi
    0.00 :   256b:           callq   0x11b0 <fwrite@plt>
         : 191  ; /home/tlam/cs134/project2b/lab2_list.c:362
         : 192  ;             exit(1);
    0.00 :   2570:           movl    $0x1, %edi
    0.00 :   2575:           callq   0x11a0 <exit@plt>
         : 195  ; /home/tlam/cs134/project2b/lab2_list.c:364
         : 196  ;         while (__sync_lock_test_and_set(&exclusions[j], 1)) {
    0.00 :   257a:           nop
    0.00 :   257b:           movq    0x3ca6(%rip), %rax      # 0x6228 <exclusions>
    0.00 :   2582:           movl    -0x48(%rbp), %edx
    0.00 :   2585:           movslq  %edx, %rdx
    0.00 :   2588:           shlq    $0x2, %rdx
    0.00 :   258c:           addq    %rax, %rdx
    0.00 :   258f:           movl    $0x1, %eax
    0.01 :   2594:           xchgl   %eax, (%rdx)
    0.00 :   2596:           testl   %eax, %eax
    0.00 :   2598:           jne     0x257b <thread_run_list_test+0x247>
         : 207  ; /home/tlam/cs134/project2b/lab2_list.c:367
         : 208  ;         if (clock_gettime(CLOCK_MONOTONIC, &stop) == -1) {
    0.00 :   259a:           leaq    -0x20(%rbp), %rax
    0.00 :   259e:           movq    %rax, %rsi
    0.00 :   25a1:           movl    $0x1, %edi
    0.00 :   25a6:           callq   0x1060 <clock_gettime@plt>
    0.00 :   25ab:           cmpl    $-0x1, %eax
    0.00 :   25ae:           jne     0x25dd <thread_run_list_test+0x2a9>
         : 215  ; /home/tlam/cs134/project2b/lab2_list.c:368
         : 216  ;             fprintf(stderr, "clock gettime");
    0.00 :   25b0:           movq    0x3c49(%rip), %rax      # 0x6200 <stderr@GLIBC_2.2.5>
    0.00 :   25b7:           movq    %rax, %rcx
    0.00 :   25ba:           movl    $0xd, %edx
    0.00 :   25bf:           movl    $0x1, %esi
    0.00 :   25c4:           leaq    0x1bf4(%rip), %rax      # 0x41bf <_IO_stdin_used+0x1bf>
    0.00 :   25cb:           movq    %rax, %rdi
    0.00 :   25ce:           callq   0x11b0 <fwrite@plt>
         : 224  ; /home/tlam/cs134/project2b/lab2_list.c:369
         : 225  ;             exit(1);
    0.00 :   25d3:           movl    $0x1, %edi
    0.00 :   25d8:           callq   0x11a0 <exit@plt>
         : 228  ; /home/tlam/cs134/project2b/lab2_list.c:372
         : 229  ;         locking_times[*index] +=
    0.00 :   25dd:           movq    0x3c4c(%rip), %rdx      # 0x6230 <locking_times>
    0.00 :   25e4:           movq    -0x38(%rbp), %rax
    0.00 :   25e8:           movl    (%rax), %eax
    0.00 :   25ea:           cltq
    0.00 :   25ec:           shlq    $0x3, %rax
    0.00 :   25f0:           addq    %rdx, %rax
    0.00 :   25f3:           movq    (%rax), %rdx
         : 237  ; /home/tlam/cs134/project2b/lab2_list.c:373
         : 238  ;             stop.tv_nsec - start.tv_nsec + (stop.tv_sec - start.tv_sec) * BILLION;
    0.00 :   25f6:           movq    -0x18(%rbp), %rcx
    0.00 :   25fa:           movq    -0x28(%rbp), %rax
    0.00 :   25fe:           movq    %rcx, %rsi
    0.00 :   2601:           subq    %rax, %rsi
    0.00 :   2604:           movq    -0x20(%rbp), %rcx
    0.00 :   2608:           movq    -0x30(%rbp), %rax
    0.00 :   260c:           subq    %rax, %rcx
    0.00 :   260f:           imulq   $0x3b9aca00, %rcx, %rax # imm = 0x3B9ACA00
